stock,filing_date,release_type,gap,move_up,move_down,move_close,vp_before,vp_after
MMM,2024-02-07,BMO,"date
2024-02-06 05:00:00   NaN
2024-02-07 05:00:00   NaN
dtype: float64","date
2024-02-07 05:00:00    0.12
dtype: float64","date
2024-02-07 05:00:00   -1.16
dtype: float64","date
2024-02-07 05:00:00   -0.8
dtype: float64",349505933,357669495
AOS,2025-02-11,AMC,"date
2025-02-11 05:00:00   NaN
2025-02-12 05:00:00   NaN
dtype: float64","date
2025-02-12 05:00:00    1.3
dtype: float64","date
2025-02-12 05:00:00   -0.45
dtype: float64","date
2025-02-12 05:00:00    0.63
dtype: float64",50764772,56011061
ABT,2024-07-31,AMC,"date
2024-07-31 04:00:00   NaN
2024-08-01 04:00:00   NaN
dtype: float64","date
2024-08-01 04:00:00    3.78
dtype: float64","date
2024-08-01 04:00:00   -0.3
dtype: float64","date
2024-08-01 04:00:00    3.28
dtype: float64",872776519,967225274
ABT,2024-10-31,AMC,"date
2024-10-31 04:00:00   NaN
2024-11-01 04:00:00   NaN
dtype: float64","date
2024-11-01 04:00:00    0.14
dtype: float64","date
2024-11-01 04:00:00   -2.22
dtype: float64","date
2024-11-01 04:00:00   -0.96
dtype: float64",603487216,1215379273
ABT,2025-07-30,AMC,"date
2025-07-30 04:00:00   NaN
2025-07-31 04:00:00   NaN
dtype: float64","date
2025-07-31 04:00:00    1.26
dtype: float64","date
2025-07-31 04:00:00   -1.36
dtype: float64","date
2025-07-31 04:00:00   -1.06
dtype: float64",688985835,857406015
ACN,2025-10-10,BMO,"date
2025-10-09 04:00:00   NaN
2025-10-10 04:00:00   NaN
dtype: float64","date
2025-10-10 04:00:00    0.52
dtype: float64","date
2025-10-10 04:00:00   -4.35
dtype: float64","date
2025-10-10 04:00:00   -4.25
dtype: float64",1115937092,1144671955
ACN,2024-03-21,BMO,"date
2024-03-20 04:00:00   NaN
2024-03-21 04:00:00   NaN
dtype: float64","date
2024-03-21 04:00:00    1.38
dtype: float64","date
2024-03-21 04:00:00   -5.96
dtype: float64","date
2024-03-21 04:00:00   -5.21
dtype: float64",1094766698,3485146375
ACN,2024-12-19,BMO,"date
2024-12-18 05:00:00   NaN
2024-12-19 05:00:00   NaN
dtype: float64","date
2024-12-19 05:00:00    3.26
dtype: float64","date
2024-12-19 05:00:00   -0.49
dtype: float64","date
2024-12-19 05:00:00    1.96
dtype: float64",1123791497,2217542535
ACN,2025-03-20,BMO,"date
2025-03-19 04:00:00   NaN
2025-03-20 04:00:00   NaN
dtype: float64","date
2025-03-20 04:00:00    3.61
dtype: float64","date
2025-03-20 04:00:00   -1.57
dtype: float64","date
2025-03-20 04:00:00    1.61
dtype: float64",1399809979,3168670251
ACN,2025-12-18,BMO,"date
2025-12-17 05:00:00   NaN
2025-12-18 05:00:00   NaN
dtype: float64","date
2025-12-18 05:00:00    2.78
dtype: float64","date
2025-12-18 05:00:00   -1.32
dtype: float64","date
2025-12-18 05:00:00    1.87
dtype: float64",1529322146,1834655420
ADBE,2024-03-27,BMO,"date
2024-03-26 04:00:00   NaN
2024-03-27 04:00:00   NaN
dtype: float64","date
2024-03-27 04:00:00    0.27
dtype: float64","date
2024-03-27 04:00:00   -3.06
dtype: float64","date
2024-03-27 04:00:00   -2.15
dtype: float64",1428045800,2179621080
